,,,,,,Tackles,,,,,Def Int,,,,Fumbles,,,
Rk,Date,School,,Opponent,,Solo,Ast,Tot,Loss,Sk,Int,Yds,TD,PD,FR,Yds,TD,FF
1,2009-09-05,Nebraska,,Florida Atlantic,W,4,3,7,1,0,0,0,0,1,0,0,0,0
2,2009-09-12,Nebraska,,Arkansas State,W,4,1,5,2.5,1.5,0,0,0,0,0,0,0,0
3,2009-09-19,Nebraska,@,Virginia Tech,L,1,7,8,0.5,0.5,0,0,0,4,0,0,0,0
4,2009-09-26,Nebraska,,Louisiana,W,1,5,6,0.5,0,0,0,0,1,0,0,0,0
5,2009-10-08,Nebraska,@,Missouri,W,5,1,6,1,1,1,0,0,2,0,0,0,1
6,2009-10-17,Nebraska,,Texas Tech,L,4,0,4,2,0,0,0,0,0,0,0,0,0
7,2009-10-24,Nebraska,,Iowa State,L,6,2,8,1,1,0,0,0,0,0,0,0,0
8,2009-10-31,Nebraska,@,Baylor,W,3,2,5,2.5,1,0,0,0,0,0,0,0,0
9,2009-11-07,Nebraska,,Oklahoma,W,1,3,4,0,0,0,0,0,1,0,0,0,0
10,2009-11-14,Nebraska,@,Kansas,W,2,1,3,0,0,0,0,0,0,0,0,0,0
11,2009-11-21,Nebraska,,Kansas State,W,4,5,9,1.5,1.5,0,0,0,2,0,0,0,0
12,2009-11-27,Nebraska,@,Colorado,W,5,0,5,1,1,0,0,0,0,0,0,0,0
13,2009-12-05,Nebraska,N,Texas,L,10,2,12,6,4.5,0,0,0,0,0,0,0,0
14,2009-12-30,Nebraska,N,Arizona*,W,2,1,3,1,0,0,0,0,0,0,0,0,0
,14 Games,,,,,52,33,85,20.5,12,1,0,0,11,0,0,0,1