,Name,Yr,Pos,G,Solo,Assisted,Total,Total/G
1,Rolando McClain,JR,LB,14,51,53,104,7.43
2,Mark Barron,SO,DB,14,42,32,74,5.29
3,Javier Arenas,SR,DB,13,46,24,70,5.38
4,Eryk Anders,SR,LB,14,31,34,65,4.64
5,Cory Reamer,SR,LB,14,28,22,50,3.57
6,Kareem Jackson,JR,DB,14,30,19,49,3.5
7,Justin Woodall,SR,DB,14,30,15,45,3.21
8,Robby Green,SO,DB,14,22,11,33,2.36
9,Marcell Dareus,SO,DL,14,19,14,33,2.36
10,Marquis Johnson,SR,DB,14,24,5,29,2.07
11,Nico Johnson,FR,LB,12,17,11,28,2.33
12,Terrence Cody,SR,DL,14,12,16,28,2
13,Brandon Deaderick,SR,DL,14,10,13,23,1.64
14,Lorenzo Washington,SR,DL,14,13,8,21,1.5
15,Ali Sharrief,SR,DB,14,10,10,20,1.43
16,Tyrone King,SR,DB,14,8,10,18,1.29
17,Josh Chapman,SO,DL,13,6,11,17,1.31
18,Dont'a Hightower,SO,LB,4,5,11,16,4
19,Courtney Upshaw,SO,LB,14,7,8,15,1.07
20,Chris Jordan,SO,LB,13,10,2,12,0.92
21,Chris Rogers,SR,DB,14,9,2,11,0.79
22,Luther Davis,JR,DL,14,3,8,11,0.79
23,Robert Lester,FR,DB,8,6,2,8,1
24,Dre Kirkpatrick,FR,DB,12,3,5,8,0.67
25,Rod Woodson,FR,DB,12,5,2,7,0.58
26,Nick Gentry,SO,DL,4,0,7,7,1.75
27,Trent Richardson,FR,RB,14,4,2,6,0.43
28,Leigh Tiffin,SR,K,14,2,1,3,0.21
29,Marquis Maze,SO,WR,14,2,1,3,0.21
30,Jerrell Harris,SO,LB,6,1,2,3,0.5
31,Roy Upchurch,SR,RB,13,1,2,3,0.23
32,Kerry Murphy,FR,DL,6,0,3,3,0.5
33,P.J. Fitzgerald,SR,P,14,2,0,2,0.14
34,Chavis Williams,JR,LB,7,1,1,2,0.29
35,Terry Grant,JR,RB,8,1,1,2,0.25
36,Hampton Gray,SR,DB,1,1,0,1,1
37,Demetrius Goode,SO,RB,11,1,0,1,0.09
38,Julio Jones,SO,WR,13,1,0,1,0.08
39,James Carpenter,JR,OL,14,1,0,1,0.07
40,Colin Peek,SR,TE,14,1,0,1,0.07
41,Milton Talbert,JR,DL,1,0,1,1,1
42,Damion Square,FR,DL,2,0,1,1,0.5
43,Alex Watkins,SO,LB,4,0,1,1,0.25
44,Brian Selman,SR,DS,14,0,1,1,0.07
45,Greg McElroy,JR,QB,14,0,1,1,0.07
,Total,,,14,466,373,839,59.93
,Opponents,,,14,555,480,1035,73.93