,,,,,,,,Score,,Passing,,,,,,,,,,,Rushing,,,,Scoring,,,,Punting,,Downs,,,,
1,Sun,44452,boxscore,L,,,Los Angeles Chargers,13,16,23,36,173,0,1,3,20,5.4,4.4,63.9,63.8,28,122,4.4,1,2,3,1,1,6,330,6,14,0,0,1.243055556
2,Thu,44456,boxscore,L,,@,Cleveland Browns,30,35,37,61,285,3,0,3,31,5.2,4.5,60.7,88.5,24,68,2.8,0,3,3,3,3,2,98,8,18,5,5,1.402083333
3,Sun,44466,boxscore,T,OT,@,Philadelphia Eagles,23,23,31,44,256,2,0,8,56,7.1,4.9,70.5,100.2,18,48,2.7,0,3,3,2,2,7,298,3,13,0,0,1.344444444
4,Sun,44473,boxscore,W,,,Jacksonville Jaguars,33,25,25,36,300,1,1,1,0,8.3,8.1,69.4,92.4,34,205,6,2,4,4,3,3,1,40,4,11,1,1,1.382638889
5,Sun,44480,boxscore,L,,@,Baltimore Ravens,3,27,19,30,135,0,1,7,48,6.1,3.6,63.3,59.7,28,70,2.5,0,1,1,0,0,7,351,3,16,2,3,1.44375
6,Sun,44487,boxscore,L,,@,Indianapolis Colts,27,31,25,39,300,0,1,2,13,8,7.3,64.1,76.9,32,98,3.1,3,2,3,3,3,3,131,8,17,2,2,1.436111111
7,Sun,44494,boxscore,L,,,Cleveland Browns,34,37,36,48,387,3,1,4,35,8.8,7.4,75,110.3,21,81,3.9,1,2,2,4,4,0,0,6,9,1,1,1.372916667
8,Sun,44501,boxscore,W,,,Tennessee Titans,31,20,26,37,249,2,0,0,0,6.7,6.7,70.3,106.7,32,118,3.7,2,1,1,4,4,3,130,10,15,1,1,1.497916667
10,Sun,44515,boxscore,L,,@,Pittsburgh Steelers,10,36,21,40,185,1,0,4,28,5.3,4.2,52.5,73.4,21,139,6.6,0,1,1,1,1,9,401,0,13,2,3,1.230555556
11,Sun,44522,boxscore,L,,@,Washington Football Team,9,20,25,44,202,1,1,4,31,5.3,4.2,56.8,66.7,18,70,3.9,0,1,3,0,1,5,243,3,13,0,2,1.218055556
Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP